Brake.Trq_WB_FL,Brake.Trq_WB_FR,Brake.Trq_WB_RL,Brake.Trq_WB_RR,Car.Distance,Car.LongSlipFL,Car.LongSlipFR,Car.LongSlipRL,Car.LongSlipRR,Time,,,
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,,,
Nm,Nm,Nm,Nm,m,,,,,s,,,
0,0,0,0,24.06232186,0.01345197,0.014249022,0.009445786,0.009750659,2.801,,,
0,0,0,0,24.23423352,0.013274549,0.014079676,0.009428244,0.009731458,2.811,,,
0,0,0,0,24.40659751,0.013101555,0.013901198,0.009408286,0.009709102,2.821,,,
0,0,0,0,24.57941214,0.012936581,0.013710295,0.009384904,0.009683701,2.831,,,
0,0,0,0,24.7526758,0.012766868,0.013524733,0.009357013,0.009654528,2.841,,,
0,0,0,0,24.92638687,0.012597787,0.013347252,0.009324696,0.009620988,2.851,,,
0,0,0,0,25.10054375,0.012436173,0.013170981,0.009289145,0.009583998,2.861,,,
0,0,0,0,25.27514478,0.012282164,0.012999514,0.009250341,0.009544043,2.871,,,
0,0,0,0,25.45018834,0.012127266,0.012837897,0.009209359,0.009502091,2.881,,,
0,0,0,0,25.6256728,0.011971619,0.012687808,0.009166997,0.009458178,2.891,,,
0,0,0,0,25.80159652,0.011835094,0.012554813,0.009122037,0.009410935,2.901,,,
0,0,0,0,25.97795783,0.011719285,0.012424959,0.009077155,0.009363342,2.911,,,
0,0,0,0,26.1547551,0.011617067,0.012304942,0.009032463,0.009316112,2.921,,,
0,0,0,0,26.33198676,0.011516508,0.012200199,0.008988744,0.009270154,2.931,,,
0,0,0,0,26.50965131,0.011418556,0.012109381,0.00894603,0.009224934,2.941,,,
0,0,0,0,26.68774731,0.011331843,0.012029458,0.008904596,0.009180847,2.951,,,
0,0,0,0,26.86627335,0.011258426,0.01195848,0.008864868,0.009138354,2.961,,,
0,0,0,0,27.04522809,0.011198167,0.011888727,0.008829735,0.009101475,2.971,,,
0,0,0,0,27.22461027,0.011147695,0.011828557,0.008796227,0.009066423,2.981,,,
0,0,0,0,27.40441862,0.011106089,0.011779852,0.008763389,0.009032059,2.991,,,
0,0,0,0,27.5846519,0.011073744,0.011742951,0.008731236,0.008998499,3.001,,,
0,0,0,0,27.76530889,0.011051005,0.01171713,0.008700194,0.008966222,3.011,,,
0,0,0,0,27.94638843,0.011036417,0.011701708,0.008670624,0.008935663,3.021,,,
0,0,0,0,28.1278894,0.011027405,0.011696036,0.008642892,0.008906948,3.031,,,
0,0,0,0,28.30981078,0.01102681,0.011698885,0.008617251,0.008880149,3.041,,,
0,0,0,0,28.49215156,0.011042609,0.011715722,0.008593258,0.008854955,3.051,,,
0,0,0,0,28.67491079,0.011073515,0.011751605,0.0085715,0.008831586,3.061,,,
0,0,0,0,28.85808753,0.011111514,0.0117947,0.008553317,0.008811984,3.071,,,
0,0,0,0,29.04168102,0.011151125,0.01184129,0.008538115,0.008795642,3.081,,,
0,0,0,0,29.22569054,0.011192597,0.011888086,0.00852492,0.008781522,3.091,,,
0,0,0,0,29.41011545,0.011233304,0.011933882,0.008513263,0.008769128,3.101,,,
0,0,0,0,29.59495514,0.011272181,0.011977476,0.008502767,0.008757989,3.111,,,
0,0,0,0,29.78020897,0.01130837,0.012018041,0.008493332,0.008747798,3.121,,,
0,0,0,0,29.96587633,0.011341301,0.012054938,0.008484899,0.008738409,3.131,,,
0,0,0,0,30.15195656,0.011370377,0.012087534,0.008479246,0.008731882,3.141,,,
0,0,0,0,30.33844898,0.011395263,0.012115479,0.008474576,0.008726523,3.151,,,
0,0,0,0,30.5253529,0.011415529,0.012138698,0.008470156,0.008721613,3.161,,,
0,0,0,0,30.71266757,0.011431451,0.012156199,0.008465875,0.008716768,3.171,,,
0,0,0,0,30.90039222,0.011443774,0.012164241,0.008461703,0.008712258,3.181,,,
0,0,0,0,31.08852609,0.011451419,0.012166947,0.008457145,0.008707504,3.191,,,
0,0,0,0,31.27706839,0.011454458,0.012165129,0.008452098,0.008702408,3.201,,,
0,0,0,0,31.46601831,0.011453018,0.012159118,0.008446485,0.008696884,3.211,,,
0,0,0,0,31.65537504,0.011447291,0.012149022,0.008440239,0.008690867,3.221,,,
0,0,0,0,31.84513773,0.011437446,0.012135001,0.008433296,0.008683971,3.231,,,
0,0,0,0,32.03530554,0.011423583,0.012117249,0.008425606,0.008676186,3.241,,,
0,0,0,0,32.22587761,0.011405889,0.012096008,0.008417173,0.008667615,3.251,,,
0,0,0,0,32.41685308,0.011384097,0.012071493,0.008407907,0.008658315,3.261,,,
0,0,0,0,32.60823108,0.01135649,0.012044249,0.008397946,0.008648272,3.271,,,
